datetime,airt
2005-01-01T00:15,5.1
2005-01-01T00:30,5
2005-01-01T00:45,4.9
2005-01-01T01:00,4.7
2005-01-01T01:15,4.5
2005-01-01T01:30,4.6
2005-01-01T01:45,4.6
2005-01-01T02:00,4.7
2005-01-01T02:15,4.6
2005-01-01T02:30,4.6
2005-01-01T02:45,4.6
2005-01-01T03:00,4.4
2005-01-01T03:15,4.4
2005-01-01T03:30,4.4
2005-01-01T03:45,4.4
2005-01-01T04:00,4.3
2005-01-01T04:15,4.4
2005-01-01T04:30,4.5
2005-01-01T04:45,4.7
2005-01-01T05:00,5
2005-01-01T05:15,5.2
2005-01-01T05:30,5.3
2005-01-01T05:45,5.2
2005-01-01T06:00,5.5
2005-01-01T06:15,5.8
2005-01-01T06:30,5.4
2005-01-01T06:45,5.2
2005-01-01T07:00,4.9
2005-01-01T07:15,4.6
2005-01-01T07:30,4.2
2005-01-01T07:45,3.8
2005-01-01T08:00,3.3
2005-01-01T08:15,3.3
2005-01-01T08:30,5.3
2005-01-01T08:45,6.2
2005-01-01T09:00,6.3
2005-01-01T09:15,6.4
2005-01-01T09:30,6.4
2005-01-01T09:45,6.5
2005-01-01T10:00,6.5
2005-01-01T10:15,6.3
2005-01-01T10:30,6.2
2005-01-01T10:45,6.3
2005-01-01T11:00,6.2
2005-01-01T11:15,6.3
2005-01-01T11:30,6.3
2005-01-01T11:45,5.8
2005-01-01T12:00,5.9
2005-01-01T12:15,5.8
2005-01-01T12:30,6
2005-01-01T12:45,5.9
2005-01-01T13:00,5.9
2005-01-01T13:15,5.8
2005-01-01T13:30,5.6
2005-01-01T13:45,5.4
2005-01-01T14:00,5.2
2005-01-01T14:15,4.9
2005-01-01T14:30,4.9
2005-01-01T14:45,4.7
2005-01-01T15:00,4.6
2005-01-01T15:15,4.5
2005-01-01T15:30,4.2
2005-01-01T15:45,3.8
2005-01-01T16:00,3.5
2005-01-01T16:15,3.1
2005-01-01T16:30,2.8
2005-01-01T16:45,2.5
2005-01-01T17:00,2.2
2005-01-01T17:15,1.6
2005-01-01T17:30,1.7
